"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-09","Nova Scotia","2016A000212","Total all classes of electricity producer","Tidal power turbine","Megawatt hours","210","units","0","v44174724","4.1.7","-65","","","","0"
"2008-09","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","7206","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours","210","units","0","v44174726","4.2.1","902444","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours","210","units","0","v44174727","4.2.2","81626","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours","210","units","0","v44174728","4.2.3","791573","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, electric utilities","Combustion turbine","Megawatt hours","210","units","0","v44174729","4.2.6","22104","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours","210","units","0","v44174730","4.2.7","-65","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, electric utilities","Wind power turbine","Megawatt hours","210","units","0","v44174731","4.2.8","7206","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, industries","Total all types of electricity generation","Megawatt hours","210","units","0","v44174732","4.3.1","18237","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, industries","Hydraulic turbine","Megawatt hours","210","units","0","v44174733","4.3.2","2915","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, industries","Conventional steam turbine","Megawatt hours","210","units","0","v44174734","4.3.3","15322","","","","0"
"2008-09","Nova Scotia","2016A000212","Electricity producers, industries","Wind power turbine","Megawatt hours","210","units","0","v62460553","4.3.8","","..","","","0"
"2008-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174720","4.1.1","957342","","","","0"
"2008-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174721","4.1.2","66372","","","","0"
"2008-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174722","4.1.3","848688","","","","0"
"2008-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174723","4.1.6","32772","","","","0"
"2008-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Tidal power turbine","Megawatt hours","210","units","0","v44174724","4.1.7","-60","","","","0"
"2008-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9570","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours","210","units","0","v44174726","4.2.1","936225","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours","210","units","0","v44174727","4.2.2","63019","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours","210","units","0","v44174728","4.2.3","830924","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, electric utilities","Combustion turbine","Megawatt hours","210","units","0","v44174729","4.2.6","32772","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours","210","units","0","v44174730","4.2.7","-60","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, electric utilities","Wind power turbine","Megawatt hours","210","units","0","v44174731","4.2.8","9570","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, industries","Total all types of electricity generation","Megawatt hours","210","units","0","v44174732","4.3.1","21117","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, industries","Hydraulic turbine","Megawatt hours","210","units","0","v44174733","4.3.2","3353","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, industries","Conventional steam turbine","Megawatt hours","210","units","0","v44174734","4.3.3","17764","","","","0"
"2008-10","Nova Scotia","2016A000212","Electricity producers, industries","Wind power turbine","Megawatt hours","210","units","0","v62460553","4.3.8","","..","","","0"
"2008-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174720","4.1.1","961475","","","","0"
"2008-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174721","4.1.2","71797","","","","0"
"2008-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174722","4.1.3","853221","","","","0"
"2008-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174723","4.1.6","27009","","","","0"
"2008-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Tidal power turbine","Megawatt hours","210","units","0","v44174724","4.1.7","389","","","","0"
"2008-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9059","","","","0"
"2008-11","Nova Scotia","2016A000212","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours","210","units","0","v44174726","4.2.1","942617","","","","0"
"2008-11","Nova Scotia","2016A000212","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours","210","units","0","v44174727","4.2.2","68773","","","","0"
"2008-11","Nova Scotia","2016A000212","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours","210","units","0","v44174728","4.2.3","837387","","","","0"
"2008-11","Nova Scotia","2016A000212","Electricity producers, electric utilities","Combustion turbine","Megawatt hours","210","units","0","v44174729","4.2.6","27009","","","","0"
"2008-11","Nova Scotia","2016A000212","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours","210","units","0","v44174730","4.2.7","389","","","","0"
"2008-11","Nova Scotia","2016A000212","Electricity producers, electric utilities","Wind power turbine","Megawatt hours","210","units","0","v44174731","4.2.8","9059","","","","0"
